age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,max_monthly_emi,emi_eligibility
28,Female,Single,Post Graduate,129551,Private,18,Small,Own,0,1,3,18385,21812,4726,2956,2722,0,0,807,455774,47025,Education,171614,30,50000,Eligible
52,Female,Married,Graduate,168406,Private,0,Medium,Rented,38442,4,2,365,26210,7063,22181,5489,2,16528,585,368055,77125,Education,483601,36,31515,Not_Eligible
48,Female,Single,Professional,133436,Private,27,Medium,Own,0,4,0,17116,4302,7410,7991,10606,1,10994,638,207421,5769,Personal Loan,345776,45,48823,High_Risk
40,Female,Single,Graduate,124908,Private,18,Small,Rented,45571,5,3,15553,7381,6547,21915,783,0,0,494,40179,140807,Home Appliances,290688,13,17577,Not_Eligible
40,Male,Married,High School,101461,Government,31,Small,Rented,28200,4,3,15874,1120,6029,17808,13664,2,29928,790,76347,183772,Personal Loan,270761,13,500,Not_Eligible
55,Female,Single,Post Graduate,60298,Private,25,Medium,Own,0,2,1,3238,14669,6496,7675,2565,2,15166,341,121357,157331,Vehicle,1275992,72,11435,Not_Eligible
28,Female,Married,Graduate,66942,Private,32,Medium,Own,0,3,1,17622,14824,2564,15147,11805,0,0,452,203145,61859,Education,236170,43,16826,Not_Eligible
50,Female,Single,High School,152950,Government,18,Medium,Family,0,3,0,11975,891,2463,3026,9248,2,19162,846,442948,96538,Home Appliances,202434,36,50000,Eligible
32,Female,Married,High School,27915,Private,0,Medium,Own,0,6,3,8039,19847,9344,21651,12715,2,24440,566,59787,191521,E-commerce,185306,24,500,Not_Eligible
28,Female,Married,Graduate,30629,Private,5,Medium,Family,0,4,3,13622,266,6004,10506,11627,2,26798,396,288460,85084,E-commerce,84563,16,500,Not_Eligible
43,Male,Married,High School,88383,Self-employed,18,Small,Own,0,4,0,6829,23786,8682,12737,7738,1,4171,527,173660,167824,E-commerce,41782,22,26164,Not_Eligible
60,Female,Married,Graduate,158268,Government,16,Medium,Own,0,5,2,5587,21164,6443,6399,11341,0,0,440,23293,115484,Personal Loan,352118,33,50000,Not_Eligible
51,Male,Married,High School,136552,Self-employed,32,Small,Rented,42613,3,1,5764,24454,4825,12219,5197,1,5222,589,309664,99786,E-commerce,122917,20,27415,Not_Eligible
52,Male,Married,Graduate,124147,Self-employed,16,Medium,Own,0,6,2,11386,3548,5919,13082,8755,2,15636,429,352128,117033,E-commerce,149030,24,39147,Not_Eligible
50,Female,Single,Graduate,113815,Self-employed,35,Small,Rented,10358,5,0,12021,26112,7071,8298,13726,1,7886,520,479741,44721,Home Appliances,219635,30,30599,Not_Eligible
53,Female,Single,Graduate,35488,Government,7,Small,Rented,7423,6,3,4805,16434,2268,29422,1271,1,1051,800,253341,85096,Personal Loan,593832,32,500,Not_Eligible
43,Male,Married,Graduate,76382,Private,15,Medium,Rented,16410,5,1,4912,25900,4890,9834,5337,2,27072,345,162700,60870,Vehicle,1376943,39,500,Not_Eligible
29,Male,Married,High School,29708,Private,31,Medium,Family,0,4,3,18927,20880,7369,7070,259,1,13038,720,427261,151533,Home Appliances,193689,15,500,Not_Eligible
55,Male,Single,Graduate,155259,Private,5,Medium,Own,0,1,0,10298,19692,1327,17350,8014,0,0,343,123678,122476,Home Appliances,155069,17,50000,Not_Eligible
41,Male,Married,Graduate,153905,Government,13,Medium,Family,0,4,2,17204,967,1195,10928,11732,2,10564,551,341217,79944,Education,166264,41,50000,Not_Eligible
43,Male,Married,Graduate,62747,Private,30,Large,Family,0,1,1,6603,20760,2021,14711,578,1,12572,668,471695,164501,Vehicle,1169541,63,14220,Not_Eligible
38,Male,Married,High School,69193,Self-employed,24,Large,Family,0,4,3,5761,13462,6116,22303,8241,1,4798,826,2223,90600,Home Appliances,43245,13,9727,Eligible
31,Female,Married,High School,73729,Private,31,Large,Rented,46319,5,2,5652,25477,2765,4190,6228,1,5281,437,462589,190660,Personal Loan,257163,46,500,Not_Eligible
58,Female,Married,Graduate,179521,Private,21,Medium,Family,0,4,2,10576,20525,4644,16257,11741,2,29932,329,102869,121064,Home Appliances,269885,17,50000,Not_Eligible
53,Female,Married,Graduate,105377,Private,35,Medium,Family,0,2,0,15582,2230,1771,2607,3302,2,27870,713,240788,177144,Home Appliances,112490,23,34126,Eligible
48,Male,Single,Graduate,155984,Private,35,Medium,Family,0,1,2,10013,26692,2877,3230,2441,2,18364,792,128982,197370,Personal Loan,988264,30,50000,Eligible
39,Male,Married,Post Graduate,98033,Private,39,Medium,Rented,22819,5,0,5899,1887,668,4590,1420,2,6738,611,72251,65399,Home Appliances,97931,22,29533,High_Risk
54,Male,Single,Graduate,144165,Private,5,Small,Rented,37317,5,1,19201,8977,8171,6527,6111,0,0,333,351116,52137,Vehicle,1380571,65,40044,Not_Eligible
44,Female,Married,Graduate,112740,Government,24,Medium,Family,0,3,0,11449,6504,4932,11784,7313,2,29000,575,241094,167127,Personal Loan,542333,47,26014,Not_Eligible
40,Male,Married,Graduate,66542,Private,4,Small,Rented,15952,5,0,7880,29227,2171,28187,13788,2,9434,515,254657,46390,Home Appliances,24236,29,500,Not_Eligible
